SITECODE,SDATE,FIELDNAME,VALUE,Year,Month
T01,17-Jun-98,PH,4,1998,6
T01,17-Jun-98,PO4P,0.116,1998,6
T01,17-Jun-98,POTASSIUM,3.66,1998,6
T01,17-Jun-98,SO4S,1.8,1998,6
T01,17-Jun-98,SODIUM,4.86,1998,6
T01,17-Jun-98,TOTALN,0.98,1998,6
T01,15-Jul-98,ALUMINIUM,0.205,1998,7
T01,15-Jul-98,CALCIUM,5.1,1998,7
T01,15-Jul-98,CHLORIDE,9.6,1998,7
T01,15-Jul-98,CONDY,91,1998,7
T01,15-Jul-98,DOC,7.6,1998,7
T01,15-Jul-98,IRON,0.159,1998,7
T01,15-Jul-98,MAGNESIUM,2.34,1998,7
T01,15-Jul-98,NH4N,0.745,1998,7
T01,15-Jul-98,NO3N,0.63,1998,7
T01,15-Jul-98,PH,4,1998,7
T01,15-Jul-98,PO4P,0.105,1998,7
T01,15-Jul-98,POTASSIUM,3.31,1998,7
T01,15-Jul-98,SO4S,1.5,1998,7
T01,15-Jul-98,SODIUM,4.52,1998,7
T01,15-Jul-98,TOTALN,1.46,1998,7
T01,29-Jul-98,ALUMINIUM,0.23,1998,7
T01,29-Jul-98,CALCIUM,5.25,1998,7
T01,29-Jul-98,CHLORIDE,10.5,1998,7
T01,29-Jul-98,CONDY,82,1998,7
T01,29-Jul-98,DOC,7.9,1998,7
T01,29-Jul-98,IRON,0.161,1998,7
T01,29-Jul-98,MAGNESIUM,2.44,1998,7
T01,29-Jul-98,NH4N,0.656,1998,7
T01,29-Jul-98,NO3N,0.63,1998,7
T01,29-Jul-98,PH,4,1998,7
T01,29-Jul-98,PO4P,0.085,1998,7
T01,29-Jul-98,POTASSIUM,3.56,1998,7
T01,29-Jul-98,SO4S,1.8,1998,7
T01,29-Jul-98,SODIUM,4.67,1998,7
T01,29-Jul-98,TOTALN,1.32,1998,7
T01,12-Aug-98,ALUMINIUM,0.214,1998,8
T01,12-Aug-98,CALCIUM,4.71,1998,8
T01,12-Aug-98,CHLORIDE,11.7,1998,8
T01,12-Aug-98,CONDY,93,1998,8
T01,12-Aug-98,DOC,8.2,1998,8
T01,12-Aug-98,IRON,0.082,1998,8
T01,12-Aug-98,MAGNESIUM,2.23,1998,8
T01,12-Aug-98,NH4N,0.85,1998,8
T01,12-Aug-98,NO3N,0.63,1998,8
T01,12-Aug-98,PH,4,1998,8
T01,12-Aug-98,PO4P,0.1,1998,8
